organization_formal_name,monitoring_location_identifier,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,characteristic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code
USGS California Water Science Center,USGS-11303500,2014-10-09,14:17:00,PDT,Suspended Sediment Concentration (SSC),6,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-04-19,12:25:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.13,mg/l as N,Accepted,"Nutrients, wf, Cd reduct, color",Long Term Method Detection Level,0.02,mg/l as N
USGS California Water Science Center,USGS-11447650,2015-10-09,10:58:00,PDT,Suspended Sediment Concentration (SSC),7,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-06-16,13:00:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.13,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2019-04-18,09:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.14,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2013-03-21,12:00:00,PDT,UV 254,0.11,units/cm,Accepted,"UV Absorb, 254 nm, Supor (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11447650,2016-08-10,11:00:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.14,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2016-06-21,10:00:00,PDT,Nitrite,0.01,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2017-10-11,11:20:00,PDT,Suspended Sediment Concentration (SSC),10,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-09-07,13:04:00,PDT,Suspended Sediment Concentration (SSC),27,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-09-08,11:30:00,PDT,Ammonia and ammonium,NA,NA,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11303500,2013-04-23,12:40:00,PDT,Nitrite,0.006,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11447650,2012-09-07,15:22:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-06-30,10:30:00,PDT,Organic carbon,1.44,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11303500,2017-09-06,06:55:00,PDT,Suspended Sediment Concentration (SSC),40,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-07-22,08:33:00,PDT,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-06-30,10:30:00,PDT,Inorganic nitrogen (nitrate and nitrite),NA,NA,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Long Term Method Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2016-06-08,11:00:00,PDT,UV 254,2.7,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-06-16,13:00:00,PDT,Organic carbon,1.62,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-04-15,07:10:00,PDT,Suspended Sediment Concentration (SSC),29,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-10-18,12:00:00,PDT,Nitrite,0.006,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2012-10-25,11:55:00,PDT,Suspended Sediment Concentration (SSC),17,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-10-15,15:21:00,PDT,Suspended Sediment Concentration (SSC),5,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-09-02,10:00:00,PDT,UV 254,0.06,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2014-10-15,09:40:00,PDT,Organic carbon,1.8,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-07-15,07:30:00,PDT,Suspended Sediment Concentration (SSC),126,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-10-02,07:20:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2013-04-28,08:01:00,PDT,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-10-15,09:40:00,PDT,Nitrite,0.005,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2012-04-03,11:00:00,PDT,Suspended Sediment Concentration (SSC),38,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-03-16,10:35:00,PDT,Orthophosphate,0.08,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",Long Term Method Detection Level,0.004,mg/l as P
USGS California Water Science Center,USGS-11447650,2013-04-11,12:00:00,PDT,Suspended Sediment Concentration (SSC),31,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-05-24,14:01:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-05-31,10:30:00,PDT,UV 254,0.077,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2019-07-28,07:30:00,PDT,Suspended Sediment Concentration (SSC),56,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-04-22,09:45:00,PDT,Suspended Sediment Concentration (SSC),94,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-08-09,12:15:00,PDT,Organic carbon,2.55,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.15000000000000002,mg/l
USGS California Water Science Center,USGS-11303500,2016-06-21,10:00:00,PDT,Suspended Sediment Concentration (SSC),19,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-09-03,11:00:00,PDT,UV 254,2.4,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2011-06-14,12:42:00,PDT,Suspended Sediment Concentration (SSC),81,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-04-19,12:45:00,PDT,Organic carbon,3.06,mg/l,Accepted,"DOC,0.45um cap,acid,persulfateIR",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2016-10-18,12:00:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.572,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2014-06-20,10:30:00,PDT,Suspended Sediment Concentration (SSC),528,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-07-31,11:38:00,PDT,Suspended Sediment Concentration (SSC),30,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-08-09,12:15:00,PDT,UV 254,2.7,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2012-06-21,12:25:00,PDT,Suspended Sediment Concentration (SSC),25,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-05-17,13:10:00,PDT,Suspended Sediment Concentration (SSC),32,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-04-03,11:00:00,PDT,Inorganic nitrogen (nitrate and nitrite),1.58,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Estimated Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2010-10-25,12:15:00,PDT,Ammonia and ammonium,0.17,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2011-09-29,13:22:00,PDT,Suspended Sediment Concentration (SSC),20,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-10-21,08:52:00,PDT,Suspended Sediment Concentration (SSC),15,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-06-16,13:00:00,PDT,UV 254,0.04,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11447650,2018-05-27,19:30:00,PDT,Suspended Sediment Concentration (SSC),12,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-10-15,09:40:00,PDT,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2016-10-14,12:42:00,PDT,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11313315,2013-08-29,14:45:00,PDT,Suspended Sediment Concentration (SSC),15,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2013-06-25,12:53:00,PDT,Suspended Sediment Concentration (SSC),26,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-10-04,11:04:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455478,2013-06-06,13:15:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.64,mg/l,Accepted,"Nutrients, wf, FCA,persulfate,CF",Long Term Method Detection Level,0.05,mg/l
USGS California Water Science Center,USGS-11303500,2013-09-06,10:30:00,PDT,UV 254,3.1,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2014-03-25,10:00:00,PDT,Organic carbon,2.41,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11303500,2011-06-14,12:41:00,PDT,Suspended Sediment Concentration (SSC),55,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-07-28,09:30:00,PDT,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11303500,2014-04-29,13:01:00,PDT,Suspended Sediment Concentration (SSC),39,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-07-23,11:04:00,PDT,Suspended Sediment Concentration (SSC),19,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2013-09-18,13:55:00,PDT,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-08-10,12:25:00,PDT,Nitrite,NA,NA,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11303500,2018-04-03,15:30:00,PDT,Suspended Sediment Concentration (SSC),152,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-03-25,10:00:00,PDT,UV 254,2.5,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-09-02,11:31:00,PDT,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-09-04,10:52:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2013-09-06,10:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",1.31,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",Long Term Method Detection Level,0.05,mg/l
USGS California Water Science Center,USGS-11447650,2016-08-10,11:00:00,PDT,UV 254,0.05,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2015-07-31,14:47:00,PDT,Suspended Sediment Concentration (SSC),6,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-06-22,16:10:00,PDT,Suspended Sediment Concentration (SSC),78,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2013-05-29,12:08:00,PDT,Suspended Sediment Concentration (SSC),15,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-07-15,13:31:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-08-23,10:46:00,PDT,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-04-10,13:33:00,PDT,Suspended Sediment Concentration (SSC),44,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-06-20,10:30:00,PDT,UV 254,2.4,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2014-05-28,11:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.15,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",Long Term Method Detection Level,0.05,mg/l
USGS California Water Science Center,USGS-11447650,2012-10-18,12:20:00,PDT,UV 254,2.7,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2017-07-10,07:41:00,PDT,Suspended Sediment Concentration (SSC),10,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-06-04,11:00:00,PDT,Orthophosphate,0.03,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",Long Term Method Detection Level,0.004,mg/l as P
USGS California Water Science Center,USGS-11447650,2013-10-30,15:20:00,PDT,Suspended Sediment Concentration (SSC),2,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-07-31,11:45:00,PDT,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-06-21,12:35:00,PDT,Nitrite,0.01,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11303500,2012-05-16,11:00:00,PDT,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2011-07-06,13:19:00,PDT,Suspended Sediment Concentration (SSC),31,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-05-10,10:30:00,PDT,Nitrite,0.002,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2011-05-12,11:05:00,PDT,UV 254,0.04,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2015-05-20,10:10:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.6,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11455315,2013-06-06,11:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.62,mg/l,Accepted,"Nutrients, wf, FCA,persulfate,CF",Long Term Method Detection Level,0.05,mg/l
USGS California Water Science Center,USGS-11447650,2015-05-08,10:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.41,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2012-04-17,11:54:00,PDT,Suspended Sediment Concentration (SSC),48,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2010-10-25,12:15:00,PDT,Nitrite,0.01,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11303500,2011-03-30,13:15:00,PDT,Suspended Sediment Concentration (SSC),98,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-06-03,12:00:00,PDT,UV 254,0.04,units/cm,Accepted,"UV Absorb, 254 nm, GFF (NWQL)",Long Term Method Detection Level,0.005,units/cm
USGS California Water Science Center,USGS-11303500,2018-10-10,13:16:00,PDT,Suspended Sediment Concentration (SSC),19,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11455478,2013-06-06,12:00:00,PDT,Ammonia and ammonium,0.14,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2016-05-24,13:59:00,PDT,Suspended Sediment Concentration (SSC),20,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-04-29,13:21:00,PDT,Suspended Sediment Concentration (SSC),78,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-05-30,12:00:00,PDT,Suspended Sediment Concentration (SSC),42,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2013-05-01,13:55:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-04-26,09:58:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-09-29,13:16:00,PDT,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-07-19,10:30:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-07-15,13:39:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-10-13,14:09:00,PDT,Suspended Sediment Concentration (SSC),62,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
